,Account,Balance Date,Transaction Value,Balance
0,10005367,2023-01-31,0.0,728.25
1,10011977,2023-01-31,0.0,676.54
2,10024680,2023-01-31,0.0,567.46
3,10031238,2023-01-31,0.0,576.52
4,10034341,2023-01-31,0.0,390.39
5,10079965,2023-01-31,0.0,799.27
6,10091076,2023-01-31,0.0,831.83
7,10231977,2023-01-31,0.0,61.63
8,10232603,2023-01-31,0.0,732.55
9,10243581,2023-01-31,0.0,104.27
10,10271519,2023-01-31,0.0,50.02
11,10273387,2023-01-31,0.0,581.83
12,10288821,2023-01-31,0.0,642.41
13,10295384,2023-01-31,0.0,153.85
14,10350324,2023-01-31,0.0,861.81
15,10437896,2023-01-31,0.0,661.08
16,10449180,2023-01-31,0.0,228.24
17,10464544,2023-01-31,0.0,755.99
18,10473116,2023-01-31,0.0,387.7
19,10521885,2023-01-31,0.0,54.87
20,10553619,2023-01-31,0.0,756.2
21,10554116,2023-01-31,0.0,243.95
22,10586481,2023-01-31,0.0,73.83
23,10608220,2023-01-31,0.0,632.92
24,10631690,2023-01-31,0.0,947.45
25,10675607,2023-01-31,0.0,284.84
26,10725127,2023-01-31,0.0,984.69
27,10769769,2023-01-31,0.0,906.91
28,10783139,2023-01-31,0.0,992.98
29,10799356,2023-01-31,0.0,915.04
30,10819898,2023-01-31,0.0,750.25
31,10842511,2023-01-31,0.0,651.77
32,10847941,2023-01-31,0.0,40.25
33,10864084,2023-01-31,0.0,119.98
34,10942334,2023-01-31,0.0,55.42
35,10949168,2023-01-31,0.0,471.8
36,10989769,2023-01-31,0.0,334.18
37,11008868,2023-01-31,0.0,271.3
38,11026937,2023-01-31,0.0,303.44
39,11061291,2023-01-31,0.0,72.7
40,11067879,2023-01-31,0.0,481.56
41,11110085,2023-01-31,0.0,861.29
42,11150945,2023-01-31,0.0,858.83
43,11228111,2023-01-31,0.0,130.36
44,11242986,2023-01-31,0.0,344.68
45,11251776,2023-01-31,0.0,504.02
46,11302888,2023-01-31,0.0,458.83
47,11306584,2023-01-31,0.0,522.4
48,11333185,2023-01-31,0.0,693.23
49,11346696,2023-01-31,0.0,661.99
50,11359678,2023-01-31,0.0,837.17
51,11360263,2023-01-31,0.0,136.79
52,11368995,2023-01-31,0.0,565.8
53,11437275,2023-01-31,0.0,115.34
