,Account,Balance Date,Transaction Value,Balance
0,10005367,2023-01-31,,728.25
1522,10005367,2023-02-02,-1097.6,-369.3499999999999
510,10005367,2023-02-04,144.75,-224.5999999999999
6944,10005367,2023-02-04,-67.01,-291.6099999999999
2641,10005367,2023-02-05,-108.26,-399.8699999999999
8620,10005367,2023-02-08,941.0,541.1300000000001
1494,10005367,2023-02-08,-65.49,475.6400000000001
8445,10005367,2023-02-10,-27.61,448.0300000000001
6258,10005367,2023-02-11,137.25,585.2800000000001
1,10011977,2023-01-31,,676.54
1420,10011977,2023-02-02,-51.0,625.54
497,10011977,2023-02-03,120.88,746.42
4025,10011977,2023-02-04,58.05,804.4699999999999
1082,10011977,2023-02-04,-170.56,633.91
4213,10011977,2023-02-04,-189.38,444.53
3647,10011977,2023-02-05,-124.61,319.91999999999996
8493,10011977,2023-02-08,133.74,453.65999999999997
7619,10011977,2023-02-10,-103.55,350.10999999999996
2023,10011977,2023-02-11,-43.89,306.21999999999997
2244,10011977,2023-02-14,1100.7,1406.92
2,10024680,2023-01-31,,567.46
2998,10024680,2023-02-01,-153.43,414.03000000000003
6187,10024680,2023-02-03,676.5,1090.53
7032,10024680,2023-02-07,-91.92,998.61
2115,10024680,2023-02-07,-127.45,871.16
5147,10024680,2023-02-08,-138.18,732.98
3,10031238,2023-01-31,,576.52
1368,10031238,2023-02-05,121.7,698.22
5860,10031238,2023-02-05,-110.07,588.15
2602,10031238,2023-02-09,-35.39,552.76
4533,10031238,2023-02-10,65.02,617.78
2017,10031238,2023-02-10,-160.6,457.18
5671,10031238,2023-02-11,-157.96,299.22
4,10034341,2023-01-31,,390.39
8614,10034341,2023-02-03,1566.6,1956.9899999999998
3395,10034341,2023-02-05,-217.15,1739.8399999999997
4287,10034341,2023-02-08,-110.25,1629.5899999999997
2312,10034341,2023-02-12,123.13,1752.7199999999998
6579,10034341,2023-02-14,-74.72,1677.9999999999998
5,10079965,2023-01-31,,799.27
2132,10079965,2023-02-03,156.35,955.62
748,10079965,2023-02-08,-63.9,891.72
5478,10079965,2023-02-08,-132.2,759.52
2276,10079965,2023-02-08,-442.3,317.21999999999997
6,10091076,2023-01-31,,831.83
6002,10091076,2023-02-01,75.45,907.2800000000001
3331,10091076,2023-02-01,-18.77,888.51
1121,10091076,2023-02-01,-83.96,804.5500000000001
