,Rank,id,Student_Name,Date,Term,GPA,3 Term GPA Moving
1,1,161,Zora Chishull,2020-12-16,Term 1,2.5,4.33
2,2,161,Zora Chishull,2021-03-16,Term 2,5.75,4.83
3,3,161,Zora Chishull,2021-06-01,Term 3,7.0,5.08
4,4,161,Zora Chishull,2021-12-16,Term 4,3.75,5.5
5,5,161,Zora Chishull,2022-03-16,Term 5,3.25,4.67
6,6,161,Zora Chishull,2022-06-16,Term 6,6.5,4.5
7,7,230,Zedekiah MacKerley,2020-12-16,Term 1,4.25,3.58
8,8,230,Zedekiah MacKerley,2021-03-16,Term 2,7.75,5.42
9,9,230,Zedekiah MacKerley,2021-06-01,Term 3,5.5,5.83
10,10,230,Zedekiah MacKerley,2021-12-16,Term 4,5.75,6.33
11,11,230,Zedekiah MacKerley,2022-03-16,Term 5,4.0,5.08
12,12,230,Zedekiah MacKerley,2022-06-16,Term 6,3.75,4.5
13,13,444,Zane Merner,2020-12-16,Term 1,3.25,3.42
14,14,444,Zane Merner,2021-03-16,Term 2,3.25,3.33
15,15,444,Zane Merner,2021-06-01,Term 3,6.75,4.42
16,16,444,Zane Merner,2021-12-16,Term 4,6.25,5.42
17,17,444,Zane Merner,2022-03-16,Term 5,4.75,5.92
18,18,444,Zane Merner,2022-06-16,Term 6,4.5,5.17
19,19,181,Zachariah Risman,2020-12-16,Term 1,2.75,4.58
20,20,181,Zachariah Risman,2021-03-16,Term 2,6.0,4.5
21,21,181,Zachariah Risman,2021-06-01,Term 3,5.0,4.58
22,22,181,Zachariah Risman,2021-12-16,Term 4,7.25,6.08
23,23,181,Zachariah Risman,2022-03-16,Term 5,3.5,5.25
24,24,181,Zachariah Risman,2022-06-16,Term 6,3.75,4.83
25,25,180,Yardley MacMaykin,2020-12-16,Term 1,5.75,4.67
26,26,180,Yardley MacMaykin,2021-03-16,Term 2,4.5,5.0
27,27,180,Yardley MacMaykin,2021-06-01,Term 3,6.0,5.42
28,28,180,Yardley MacMaykin,2021-12-16,Term 4,6.75,5.75
29,29,180,Yardley MacMaykin,2022-03-16,Term 5,6.25,6.33
30,30,180,Yardley MacMaykin,2022-06-16,Term 6,4.75,5.92
31,31,204,Xerxes Stormouth,2020-12-16,Term 1,4.25,4.5
32,32,204,Xerxes Stormouth,2021-03-16,Term 2,5.5,4.25
33,33,204,Xerxes Stormouth,2021-06-01,Term 3,4.25,4.67
34,34,204,Xerxes Stormouth,2021-12-16,Term 4,4.5,4.75
35,35,204,Xerxes Stormouth,2022-03-16,Term 5,6.5,5.08
36,36,204,Xerxes Stormouth,2022-06-16,Term 6,3.5,4.83
37,37,239,Woody Huison,2020-12-16,Term 1,5.75,4.33
38,38,239,Woody Huison,2021-03-16,Term 2,5.5,5.42
39,39,239,Woody Huison,2021-06-01,Term 3,5.75,5.67
40,40,239,Woody Huison,2021-12-16,Term 4,3.75,5.0
41,41,239,Woody Huison,2022-03-16,Term 5,6.75,5.42
42,42,239,Woody Huison,2022-06-16,Term 6,4.25,4.92
43,43,38,Wilona Manchester,2020-12-16,Term 1,4.5,3.08
44,44,38,Wilona Manchester,2021-03-16,Term 2,5.75,4.33
45,45,38,Wilona Manchester,2021-06-01,Term 3,5.5,5.25
46,46,38,Wilona Manchester,2021-12-16,Term 4,4.0,5.08
47,47,38,Wilona Manchester,2022-03-16,Term 5,5.25,4.92
48,48,38,Wilona Manchester,2022-06-16,Term 6,4.75,4.67
49,49,266,Willem Scorthorne,2020-12-16,Term 1,5.0,5.25
50,50,266,Willem Scorthorne,2021-03-16,Term 2,5.25,5.0
51,51,266,Willem Scorthorne,2021-06-01,Term 3,6.0,5.42
52,52,266,Willem Scorthorne,2021-12-16,Term 4,3.75,5.0
53,53,266,Willem Scorthorne,2022-03-16,Term 5,7.0,5.58
54,54,266,Willem Scorthorne,2022-06-16,Term 6,4.25,5.0
55,55,6,Whitaker Saundercock,2020-12-16,Term 1,4.0,5.58
56,56,6,Whitaker Saundercock,2021-03-16,Term 2,6.5,6.08
57,57,6,Whitaker Saundercock,2021-06-01,Term 3,5.25,5.25
58,58,6,Whitaker Saundercock,2021-12-16,Term 4,2.5,4.75
59,59,6,Whitaker Saundercock,2022-03-16,Term 5,3.0,3.58
60,60,6,Whitaker Saundercock,2022-06-16,Term 6,5.5,3.67
61,61,22,Weston Pepye,2020-12-16,Term 1,5.25,4.92
62,62,22,Weston Pepye,2021-03-16,Term 2,5.0,5.42
63,63,22,Weston Pepye,2021-06-01,Term 3,7.25,5.83
64,64,22,Weston Pepye,2021-12-16,Term 4,3.25,5.17
65,65,22,Weston Pepye,2022-03-16,Term 5,5.5,5.33
66,66,22,Weston Pepye,2022-06-16,Term 6,4.75,4.5
67,67,319,Westbrook Mattersley,2020-12-16,Term 1,7.25,6.08
68,68,319,Westbrook Mattersley,2021-03-16,Term 2,4.25,5.67
69,69,319,Westbrook Mattersley,2021-06-01,Term 3,8.75,6.75
70,70,319,Westbrook Mattersley,2021-12-16,Term 4,3.25,5.42
71,71,319,Westbrook Mattersley,2022-03-16,Term 5,5.5,5.83
72,72,319,Westbrook Mattersley,2022-06-16,Term 6,2.5,3.75
73,73,485,Welbie Sollner,2020-12-16,Term 1,4.5,3.92
74,74,485,Welbie Sollner,2021-03-16,Term 2,6.75,4.92
75,75,485,Welbie Sollner,2021-06-01,Term 3,4.75,5.33
76,76,485,Welbie Sollner,2021-12-16,Term 4,4.0,5.17
77,77,485,Welbie Sollner,2022-03-16,Term 5,5.0,4.58
