,Account Number,Account Type,Account Holder ID,Balance Date,Balance,Name,Date of Birth,Contact Number,First Line of Address,Transaction ID,Account_To,Transaction Date,Value,Cancelled?
33,10231977,Basic,41402857,2023-01-31,61.63,Federico Cathro,13/12/1985,7283906757,12 Green Hill,4230172990,68315462,2023-02-09,1410.1,N
37,10232603,Gold,8882143,2023-01-31,732.55,Kizzee Puddephatt,18/10/2003,7598835878,72404 Maywood Avenue,7252109585,69344396,2023-02-02,1190.9,N
38,10232603,Gold,8882143,2023-01-31,732.55,Kizzee Puddephatt,18/10/2003,7598835878,72404 Maywood Avenue,9161410454,91972687,2023-02-10,1128.4,N
43,10243581,Gold,84620072,2023-01-31,104.27,Kalvin Duetschens,27/03/1965,7727619510,19032 Duke Parkway,7934676808,69664627,2023-02-12,1482.9,N
65,10553619,Basic,58583983,2023-01-31,756.2,Dud Gaunt,04/12/1983,7681115087,3 Canary Avenue,108536548,86207903,2023-02-06,1085.4,N
66,10553619,Basic,58583983,2023-01-31,756.2,Dud Gaunt,04/12/1983,7681115087,3 Canary Avenue,2843750091,20090784,2023-02-04,1263.9,N
84,10725127,Basic,34435244,2023-01-31,984.69,Adeline Oxer,22/11/1998,7810160404,97044 Meadow Vale Avenue,1066977682,84714323,2023-02-04,1268.7,N
87,10769769,Basic,92082288,2023-01-31,906.91,Babbette Bromby,24/05/1936,7355990194,447 Dwight Circle,1019117125,43623061,2023-02-02,1502.2,N
102,10799356,Gold,26582406,2023-01-31,915.04,Emmi Sinnie,29/01/1954,7304047316,76493 Jenifer Place,9497069960,69540137,2023-02-14,1314.7,N
113,10864084,Gold,69466662,2023-01-31,119.98,Dyana Gianullo,27/11/1988,7517614468,763 Fulton Trail,8938004112,49172838,2023-02-13,1545.5,N
147,11228111,Basic,13413964,2023-01-31,130.36,Shae Oxberry,05/08/1938,7802003865,9401 Village Pass,2499034262,28251857,2023-02-02,1501.3,N
162,11333185,Gold,12386822,2023-01-31,693.23,Tandi Aberkirdo,13/05/2001,7224213952,40 Buell Crossing,8140515736,88570753,2023-02-07,1440.9,N
167,11346696,Basic,82550379,2023-01-31,661.99,Sonnnie Lettington,10/09/1956,7690573888,6 Homewood Junction,973180730,26632358,2023-02-13,1487.7,N
184,11438427,Basic,12807209,2023-01-31,484.08,Lora Umpleby,03/04/1952,7470603316,953 Pierstorff Court,7112744326,54541943,2023-02-08,1686.0,N
192,11662506,Basic,41390313,2023-01-31,573.89,Leigh Slimings,12/11/2002,7112224952,5841 Florence Circle,8657927187,11110085,2023-02-14,1397.8,N
201,11736814,Basic,73941848,2023-01-31,381.51,Meghann Tucker,30/01/1938,7367647078,5 Beilfuss Court,9845010989,32991596,2023-02-11,1851.4,N
226,11846043,Basic,21844263,2023-01-31,915.59,Harrietta McIlwrath,12/05/1971,7319685775,88637 Rutledge Point,6732430556,60114464,2023-02-10,1640.4,N
229,11882775,Basic,50701874,2023-01-31,299.41,Maggi Huard,01/08/1935,7487245589,51 7th Place,3548407560,57084496,2023-02-01,1058.7,N
231,11882775,Basic,50701874,2023-01-31,299.41,Maggi Huard,01/08/1935,7487245589,51 7th Place,5736260077,69468071,2023-02-06,1791.9,N
244,12035637,Gold,14770865,2023-01-31,461.35,Tomasine Treend,17/01/1942,7674822587,906 Vera Street,6023397263,93009261,2023-02-08,1169.6,N
245,12035637,Gold,14770865,2023-01-31,461.35,Tomasine Treend,17/01/1942,7674822587,906 Vera Street,7509646162,29631870,2023-02-02,1138.0,N
287,12420291,Gold,55080160,2023-01-31,578.47,Rozele Chippindale,30/11/1994,7849008825,128 Sommers Trail,5723530860,47356348,2023-02-03,1223.8,N
307,12680102,Basic,77963684,2023-01-31,674.64,Edithe Griggs,18/10/1993,7400436640,19659 Tony Lane,5914208858,85924719,2023-02-11,1010.6,N
329,13058003,Gold,10055517,2023-01-31,218.0,Bastian Lunam,02/10/1995,7726925518,33 Loomis Road,9770577936,66681692,2023-02-09,1246.4,N
356,13277127,Basic,252258,2023-01-31,793.22,Carissa Mulliss,09/05/1933,7154915911,4601 Canary Terrace,3959126042,38969279,2023-02-06,1037.3,N
377,13551717,Basic,68639654,2023-01-31,26.95,Crystal Jeacock,24/03/1956,7564586293,762 Mosinee Circle,9389881641,97571696,2023-02-01,1361.0,N
398,13965360,Basic,65473538,2023-01-31,299.46,Vincents Speare,25/07/1934,7910043558,82 Delaware Street,1019649690,67862200,2023-02-11,1655.3,N
404,14014401,Basic,11669981,2023-01-31,554.46,Clement Gant,09/10/1958,7595178757,13 Barnett Lane,8770709343,54824933,2023-02-09,1549.1,N
430,14337606,Basic,85170206,2023-01-31,561.8,Em Willicott,25/11/1943,7460992733,7776 Parkside Way,3203866781,86339899,2023-02-06,1792.7,N
437,14355869,Gold,21944580,2023-01-31,329.16,Shana Twentyman,06/11/1959,7257069800,859 Springs Park,8396185328,69315008,2023-02-01,1052.6,N
442,14448009,Joint,86296209,2023-01-31,958.46,Brinn Attkins,13/10/1993,7538141937,70105 Hayes Way,319483649,98377332,2023-02-08,1779.2,N
445,14448009,Joint,86296209,2023-01-31,958.46,Brinn Attkins,13/10/1993,7538141937,70105 Hayes Way,3101879213,21392412,2023-02-04,1367.4,N
447,14448009,Joint,86296209,2023-01-31,958.46,Brinn Attkins,13/10/1993,7538141937,70105 Hayes Way,7466187412,37503622,2023-02-09,1300.7,N
449,14448009,Joint,38678655,2023-01-31,958.46,Grayce Patel,07/03/2000,7935804352,70105 Hayes Way,319483649,98377332,2023-02-08,1779.2,N
452,14448009,Joint,38678655,2023-01-31,958.46,Grayce Patel,07/03/2000,7935804352,70105 Hayes Way,3101879213,21392412,2023-02-04,1367.4,N
454,14448009,Joint,38678655,2023-01-31,958.46,Grayce Patel,07/03/2000,7935804352,70105 Hayes Way,7466187412,37503622,2023-02-09,1300.7,N
472,14648004,Gold,51124513,2023-01-31,236.67,Leila Peter,15/11/1979,7911895533,28102 Nobel Crossing,5514302946,95081571,2023-02-08,1330.7,N
474,14648004,Gold,51124513,2023-01-31,236.67,Leila Peter,15/11/1979,7911895533,28102 Nobel Crossing,7080051630,77797288,2023-02-12,1808.9,N
505,15044055,Gold,33356634,2023-01-31,204.3,Ruprecht Jessel,21/05/1944,7143621889,6761 Toban Circle,9059693922,40082477,2023-02-09,1434.1,N
507,15052808,Gold,48910576,2023-01-31,786.05,Emmott Sharvill,16/12/1967,7762043089,2 Eagan Circle,8191592274,91305080,2023-02-14,1288.0,N
555,15428008,Gold,78909455,2023-01-31,131.02,Pearl Tradewell,20/05/2004,7238864294,7 Mariners Cove Way,3764045884,88538200,2023-02-12,1077.3,N
570,15732629,Basic,25018182,2023-01-31,975.81,Wyatan Stenbridge,27/01/1934,7112036766,9 Waxwing Lane,7250445162,87967388,2023-02-13,1393.1,N
593,15914466,Gold,48411853,2023-01-31,436.62,Kathy Naden,01/07/1951,7409895649,29316 Monterey Drive,4595593104,94342965,2023-02-09,1208.0,N
617,16067516,Gold,308061,2023-01-31,494.33,Georgette Tamplin,30/10/1962,7734687967,712 Gulseth Way,7577450812,81932657,2023-02-08,1044.7,N
653,16334793,Gold,79475074,2023-01-31,297.75,Madelon Jerrolt,17/05/1964,7786860214,39 Lindbergh Terrace,3588310436,33632099,2023-02-11,1991.3,N
675,16676577,Gold,28090300,2023-01-31,407.24,Byrle Bianco,12/07/1997,7766660402,5 Acker Street,1244052175,16013218,2023-02-06,1436.4,N
687,17039422,Basic,38814096,2023-01-31,941.44,Agna Blenkiron,04/05/1980,7407748492,57 Harbort Trail,3873340968,91971494,2023-02-06,1053.5,N
690,17085651,Gold,90628588,2023-01-31,945.51,Otho Kelinge,03/06/1958,7524597284,22 Kennedy Trail,784603499,39744047,2023-02-14,1583.4,N
691,17085651,Gold,90628588,2023-01-31,945.51,Otho Kelinge,03/06/1958,7524597284,22 Kennedy Trail,4606990570,39542358,2023-02-11,1168.2,N
694,17085651,Gold,90628588,2023-01-31,945.51,Otho Kelinge,03/06/1958,7524597284,22 Kennedy Trail,8864200932,54067346,2023-02-11,1635.6,N
696,17138963,Basic,18184412,2023-01-31,131.95,Booth Vertigan,04/07/1934,7359490161,29 Valley Edge Junction,9013221270,19559937,2023-02-01,1500.7,N
720,17301178,Gold,11893969,2023-01-31,311.47,Cherey Edwardes,03/09/1985,7279335181,8 Old Shore Hill,6328472633,49216581,2023-02-07,1147.4,N
762,17749893,Basic,48939723,2023-01-31,889.45,Klemens Gagan,25/04/1957,7404841393,4 Green Way,8782463611,15944303,2023-02-12,1267.9,N
792,18185362,Basic,83289626,2023-01-31,609.36,Agace Sporle,28/02/1999,7182359874,96 Emmet Pass,176916326,33632099,2023-02-12,1955.6,N
811,18348734,Basic,41598271,2023-01-31,579.93,Colene Rastrick,24/03/1946,7955897701,8 Macpherson Terrace,2926917953,96121732,2023-02-11,1669.7,N
817,18348734,Basic,41598271,2023-01-31,579.93,Colene Rastrick,24/03/1946,7955897701,8 Macpherson Terrace,9128693981,45015534,2023-02-08,1032.4,N
