,id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price,month,file date,Purchase Price Category,Market Cap Category,Rank
11,12,Ashla,Kerwood,HI,Consumer Durables,NYSE,Hillenbrand Inc,2310000000.0,98467.47,8,01/8/2023,Very High,Large,2.0
12,13,Penrod,Gorini,SGRP,Miscellaneous,NASDAQ,"SPAR Group, Inc.",21070000.0,72386.78,8,01/8/2023,High,Small,3.0
19,20,Sula,Killigrew,TSM,Technology,NYSE,Taiwan Semiconductor Manufacturing Company Ltd.,186020000000.0,18267.63,8,01/8/2023,Low,Huge,1.0
38,39,Tabbi,Midden,GPM,,NYSE,Guggenheim Enhanced Equity Income Fund,392460000.0,49627.77,8,01/8/2023,Medium,Medium,3.0
61,62,Brigit,Piggford,ESGE,,NASDAQ,iShares MSCI EM ESG Optimized ETF,54380000.0,72167.02,8,01/8/2023,High,Small,4.0
71,72,Corissa,Ivanaev,AMOV,Public Utilities,NYSE,"America Movil, S.A.B. de C.V.",51950000000.0,74705.70,8,01/8/2023,High,Large,4.0
73,74,Alphard,Chartman,KBWR,,NASDAQ,PowerShares KBW Regional Banking Portfolio,164430000.0,49979.91,8,01/8/2023,Medium,Medium,1.0
80,81,Sapphira,Camp,AEHR,Capital Goods,NASDAQ,Aehr Test Systems,79320000.0,46857.85,8,01/8/2023,Medium,Small,4.0
112,113,Fin,Jollie,ARDC,,NYSE,"Ares Dynamic Credit Allocation Fund, Inc.",378210000.0,99728.76,8,01/8/2023,Very High,Medium,3.0
144,145,Fidela,Gissing,RRR,Consumer Services,NASDAQ,"Red Rock Resorts, Inc.",2780000000.0,944.38,8,01/8/2023,Low,Large,2.0
162,163,Korella,Little,FCEL,Miscellaneous,NASDAQ,"FuelCell Energy, Inc.",65530000.0,96915.59,8,01/8/2023,Very High,Small,4.0
165,166,Faye,Bentley,VRTS,Finance,NASDAQ,"Virtus Investment Partners, Inc.",785490000.0,9051.82,8,01/8/2023,Low,Medium,2.0
210,211,Britt,Burbudge,SLNO,Health Care,NASDAQ,"Soleno Therapeutics, Inc.",27600000.0,71520.66,8,01/8/2023,High,Small,5.0
220,221,Kristien,Baldery,IPG,Technology,NYSE,"Interpublic Group of Companies, Inc. (The)",9640000000.0,74769.34,8,01/8/2023,High,Large,2.0
227,228,Adina,Tiffin,FGB,,NYSE,First Trust Specialty Finance and Financial Opportunities Fund,103460000.0,48542.48,8,01/8/2023,Medium,Medium,5.0
229,230,Robinetta,Eilhersen,RDUS,Health Care,NASDAQ,"Radius Health, Inc.",1770000000.0,9420.91,8,01/8/2023,Low,Large,3.0
231,232,Mignonne,Cantrell,CVX,Energy,NYSE,Chevron Corporation,205280000000.0,13896.74,8,01/8/2023,Low,Huge,2.0
242,243,Avigdor,Ramsby,PFI,,NASDAQ,PowerShares DWA Financial Momentum Portfolio,78450000.0,47030.96,8,01/8/2023,Medium,Small,3.0
263,264,Mathian,O'Lenane,AKER,Health Care,NASDAQ,Akers Biosciences Inc,11120000.0,74400.39,8,01/8/2023,High,Small,2.0
271,272,Caldwell,Gask,JNJ,Health Care,NYSE,Johnson & Johnson,361920000000.0,65338.79,8,01/8/2023,High,Huge,2.0
272,273,Pate,Rainville,URRE,Basic Industries,NASDAQ,"Uranium Resources, Inc.",34590000.0,96094.60,8,01/8/2023,Very High,Small,5.0
278,279,Consolata,Le Fleming,GIII,Consumer Non-Durables,NASDAQ,"G-III Apparel Group, LTD.",1230000000.0,9897.40,8,01/8/2023,Low,Large,1.0
285,286,Justis,Darke,BPY,Finance,NYSE,Brookfield Property Partners L.P.,5910000000.0,97134.54,8,01/8/2023,Very High,Large,4.0
303,304,Lucia,Coldbath,SGY,Energy,NYSE,Stone Energy Corporation,470400000.0,850.51,8,01/8/2023,Low,Medium,4.0
318,319,Drake,Baccas,TIL,Finance,NASDAQ,Till Capital Ltd.,13150000.0,74684.52,8,01/8/2023,High,Small,1.0
387,388,Pen,Lambert-Ciorwyn,BSL,,NYSE,Blackstone GSO Senior Floating Rate Term Fund,271310000.0,8579.93,8,01/8/2023,Low,Medium,3.0
395,396,Anderea,Caramuscia,KEM,Capital Goods,NYSE,Kemet Corporation,651310000.0,99911.79,8,01/8/2023,Very High,Medium,1.0
400,401,Benedetta,Bartomeu,KOSS,Consumer Non-Durables,NASDAQ,Koss Corporation,14100000.0,47984.29,8,01/8/2023,Medium,Small,2.0
413,414,Phillip,Norwell,PSL,,NASDAQ,PowerShares DWA Consumer Staples Momentum Portfolio,78330000.0,49205.79,8,01/8/2023,Medium,Small,1.0
435,436,Tressa,Frend,ERF,Energy,NYSE,Enerplus Corporation,1950000000.0,74734.78,8,01/8/2023,High,Large,3.0
451,452,Lida,Fletcher,ULTI,Technology,NASDAQ,"The Ultimate Software Group, Inc.",6350000000.0,49125.24,8,01/8/2023,Medium,Large,4.0
465,466,Derby,Havile,GG,Basic Industries,NYSE,Goldcorp Inc.,11220000000.0,74783.80,8,01/8/2023,High,Large,1.0
466,467,Georgeanna,Dadson,FPRX,Health Care,NASDAQ,"Five Prime Therapeutics, Inc.",809460000.0,49494.77,8,01/8/2023,Medium,Medium,4.0
494,495,Tucky,Petto,LMIA,Capital Goods,NASDAQ,"LMI Aerospace, Inc.",191030000.0,49902.73,8,01/8/2023,Medium,Medium,2.0
